Loc	Team	CNES	Req	Transf	New	Res	Surp	Def
[3106200023507]	eSB	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200023507]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023507]	ACS	5.0	0.00	0.0	0.0	5.0	4.8	0.0
[3106200024023]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200024023]	eSB	1.0	0.00	0.0	0.0	1.0	0.8	0.0
[3106200024023]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200024023]	ACS	14.0	1.00	0.0	0.0	14.0	13.1	0.0
[3106207995369]	eSF	4.0	0.00	0.0	0.0	4.0	4.0	0.0
[3106207995369]	eSB	2.0	0.00	0.0	0.0	2.0	2.0	0.0
[3106207995369]	eMulti	1.0	0.00	0.0	0.0	1.0	1.0	0.0
[3106207995369]	ACS	14.0	0.00	0.0	0.0	14.0	14.0	0.0
[3106200024007]	eSF	3.0	1.00	0.0	0.0	3.0	2.4	0.0
[3106200024007]	eSB	2.0	1.00	0.0	0.0	2.0	1.4	0.0
[3106200024007]	eMulti	1.0	0.00	0.0	0.0	1.0	0.9	0.0
[3106200024007]	ACS	8.0	2.00	0.0	0.0	8.0	5.8	0.0
[3106200023892]	eSF	4.0	0.00	0.0	0.0	4.0	3.8	0.0
[3106200023892]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106200023892]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106200023892]	ACS	15.0	1.00	0.0	0.0	15.0	14.4	0.0
[3106202708310]	eSF	3.0	0.00	0.0	0.0	3.0	2.8	0.0
[3106202708310]	eSB	2.0	0.00	0.0	0.0	2.0	1.8	0.0
[3106202708310]	eMulti	0.0	0.00	0.0	0.0	0.0	0.0	0.0
[3106202708310]	ACS	11.0	1.00	0.0	0.0	11.0	10.4	0.0
[3106205618312]	eSF	2.0	0.00	0.0	0.0	2.0	1.8	0.0
